gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,usagePercentage,percentageFieldGoalsMade,percentageFieldGoalsAttempted,percentageThreePointersMade,percentageThreePointersAttempted,percentageFreeThrowsMade,percentageFreeThrowsAttempted,percentageReboundsOffensive,percentageReboundsDefensive,percentageReboundsTotal,percentageAssists,percentageTurnovers,percentageSteals,percentageBlocks,percentageBlocksAllowed,percentagePersonalFouls,percentagePersonalFoulsDrawn,percentagePoints,game_id,endpoint,dataframe_index,collection_timestamp
0022401191,1610612741,Chicago,Bulls,CHI,bulls,1641824.0,Matas,Buzelis,M. Buzelis,matas-buzelis,F,,,14:28,0.139,0.214,0.103,0.2,0.083,0.0,0.0,0.333,0.167,0.2,0.111,0.4,0.333,0.0,0.0,0.0,0.0,0.194,0022401191,BoxScoreUsageV3,0,2025-08-10T12:06:01.830859
0022401191,1610612741,Chicago,Bulls,CHI,bulls,1641763.0,Julian,Phillips,J. Phillips,julian-phillips,F,,,26:06,0.121,0.143,0.145,0.111,0.174,0.0,0.0,0.2,0.24,0.233,0.125,0.0,0.286,0.25,0.333,0.286,0.0,0.125,0022401191,BoxScoreUsageV3,0,2025-08-10T12:06:01.830859
0022401191,1610612741,Chicago,Bulls,CHI,bulls,202696.0,Nikola,Vučević,N. Vučević,nikola-vučević,C,,,16:34,0.271,0.214,0.263,0.0,0.077,1.0,1.0,0.75,0.182,0.421,0.0,0.286,0.25,0.5,0.333,0.143,0.333,0.242,0022401191,BoxScoreUsageV3,0,2025-08-10T12:06:01.830859
0022401191,1610612741,Chicago,Bulls,CHI,bulls,1629632.0,Coby,White,C. White,coby-white,G,,,18:47,0.173,0.063,0.143,0.0,0.143,0.0,0.0,0.0,0.364,0.211,0.444,0.375,0.0,0.5,0.0,0.125,0.4,0.054,0022401191,BoxScoreUsageV3,0,2025-08-10T12:06:01.830859
0022401191,1610612741,Chicago,Bulls,CHI,bulls,1628989.0,Kevin,Huerter,K. Huerter,kevin-huerter,G,,,16:16,0.255,0.4,0.282,1.0,0.438,0.333,0.5,0.0,0.143,0.091,0.222,0.0,0.0,0.0,0.0,0.286,0.25,0.474,0022401191,BoxScoreUsageV3,0,2025-08-10T12:06:01.830859
0022401191,1610612741,Chicago,Bulls,CHI,bulls,1631207.0,Dalen,Terry,D. Terry,dalen-terry,,,,17:39,0.192,0.25,0.214,0.0,0.2,0.0,0.0,0.0,0.214,0.13,0.167,0.167,0.5,0.0,0.0,0.125,0.0,0.231,0022401191,BoxScoreUsageV3,0,2025-08-10T12:06:01.830859
0022401191,1610612741,Chicago,Bulls,CHI,bulls,1630172.0,Patrick,Williams,P. Williams,patrick-williams,,,,26:11,0.203,0.222,0.207,0.333,0.32,0.0,0.083,0.0,0.214,0.158,0.235,0.429,0.4,1.0,0.25,0.25,0.182,0.211,0022401191,BoxScoreUsageV3,0,2025-08-10T12:06:01.830859
0022401191,1610612741,Chicago,Bulls,CHI,bulls,1630188.0,Jalen,Smith,J. Smith,jalen-smith,,,,16:24,0.326,0.333,0.406,0.167,0.231,0.2,0.25,0.75,0.368,0.435,0.182,0.0,0.0,0.0,0.5,0.167,0.333,0.293,0022401191,BoxScoreUsageV3,0,2025-08-10T12:06:01.830859
0022401191,1610612741,Chicago,Bulls,CHI,bulls,1629659.0,Talen,Horton-Tucker,T. Horton-Tucker,talen-horton-tucker,,,,28:32,0.181,0.207,0.155,0.0,0.083,0.556,0.5,0.0,0.097,0.081,0.333,0.167,0.4,0.0,0.333,0.0,0.444,0.221,0022401191,BoxScoreUsageV3,0,2025-08-10T12:06:01.830859
0022401191,1610612741,Chicago,Bulls,CHI,bulls,1628975.0,Jevon,Carter,J. Carter,jevon-carter,,,,21:34,0.164,0.077,0.196,0.143,0.412,0.0,0.0,0.2,0.143,0.154,0.118,0.0,0.0,0.0,0.0,0.333,0.0,0.071,0022401191,BoxScoreUsageV3,0,2025-08-10T12:06:01.830859
0022401191,1610612741,Chicago,Bulls,CHI,bulls,1628380.0,Zach,Collins,Z. Collins,zach-collins,,,,15:02,0.231,0.222,0.212,0.25,0.071,0.5,0.4,0.333,0.214,0.235,0.2,0.0,0.0,0.0,1.0,0.25,0.333,0.271,0022401191,BoxScoreUsageV3,0,2025-08-10T12:06:01.830859
0022401191,1610612741,Chicago,Bulls,CHI,bulls,1642443.0,Jahmir,Young,J. Young,jahmir-young,,,,8:17,0.091,0.125,0.063,0.0,0.0,0.4,0.333,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.333,0.333,0.19,0022401191,BoxScoreUsageV3,0,2025-08-10T12:06:01.830859
0022401191,1610612741,Chicago,Bulls,CHI,bulls,1641801.0,Emanuel,Miller,E. Miller,emanuel-miller,,,,10:46,0.143,0.3,0.19,0.0,0.0,0.0,0.0,0.5,0.3,0.357,0.0,0.0,0.5,0.0,0.0,0.4,0.0,0.2,0022401191,BoxScoreUsageV3,0,2025-08-10T12:06:01.830859
0022401191,1610612741,Chicago,Bulls,CHI,bulls,1630604.0,E.J.,Liddell,E. Liddell,ej-liddell,,,,3:24,0.111,0.0,0.167,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0022401191,BoxScoreUsageV3,0,2025-08-10T12:06:01.830859
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1629022.0,Lonnie,Walker IV,L. Walker IV,lonnie-walker-iv,F,,,36:53,0.247,0.367,0.315,0.8,0.455,0.071,0.059,0.125,0.185,0.171,0.118,0.0,0.0,0.0,0.0,0.0,0.077,0.369,0022401191,BoxScoreUsageV3,0,2025-08-10T12:06:01.830859
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1630542.0,Marcus,Bagley,M. Bagley,marcus-bagley,F,,,43:20,0.109,0.114,0.105,0.0,0.075,0.125,0.105,0.4,0.344,0.357,0.053,0.154,0.667,0.167,0.0,0.214,0.143,0.102,0022401191,BoxScoreUsageV3,0,2025-08-10T12:06:01.830859
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1641737.0,Adem,Bona,A. Bona,adem-bona,C,,,32:42,0.159,0.231,0.148,0.0,0.0,0.364,0.462,0.333,0.28,0.29,0.0,0.077,0.2,0.4,0.333,0.3,0.417,0.232,0022401191,BoxScoreUsageV3,0,2025-08-10T12:06:01.830859
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1629656.0,Quentin,Grimes,Q. Grimes,quentin-grimes,G,,,35:12,0.213,0.107,0.209,0.0,0.3,0.167,0.133,0.0,0.241,0.194,0.286,0.308,0.0,0.0,0.0,0.222,0.083,0.107,0022401191,BoxScoreUsageV3,0,2025-08-10T12:06:01.830859
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1630215.0,Jared,Butler,J. Butler,jared-butler,G,,,25:37,0.359,0.35,0.378,0.2,0.3,0.4,0.333,0.0,0.048,0.042,0.417,0.333,0.2,0.333,0.667,0.222,0.273,0.345,0022401191,BoxScoreUsageV3,0,2025-08-10T12:06:01.830859
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1641741.0,Ricky,Council IV,R. Council IV,ricky-council-iv,,,,21:51,0.138,0.077,0.133,0.167,0.167,0.25,0.25,0.2,0.15,0.16,0.0,0.167,0.0,0.5,1.0,0.0,0.375,0.125,0022401191,BoxScoreUsageV3,0,2025-08-10T12:06:01.830859
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1641720.0,Jalen,Hood-Schifino,J. Hood-Schifino,jalen-hood-schifino,,,,27:03,0.171,0.118,0.158,0.143,0.143,0.2,0.182,0.143,0.043,0.067,0.333,0.4,0.0,0.0,0.0,0.286,0.111,0.137,0022401191,BoxScoreUsageV3,0,2025-08-10T12:06:01.830859
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1630600.0,Isaiah,Mobley,I. Mobley,isaiah-mobley,,,,17:22,0.17,0.182,0.194,0.143,0.167,0.111,0.2,0.25,0.231,0.235,0.714,0.0,0.5,1.0,0.0,0.429,0.167,0.158,0022401191,BoxScoreUsageV3,0,2025-08-10T12:06:01.830859
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1642348.0,Justin,Edwards,J. Edwards,justin-edwards,,DND - Injury/Illness,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022401191,BoxScoreUsageV3,0,2025-08-10T12:06:01.830859
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1626162.0,Kelly,Oubre Jr.,K. Oubre Jr.,kelly-oubre-jr,,DND - Injury/Illness,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022401191,BoxScoreUsageV3,0,2025-08-10T12:06:01.830859
